Model,Accuracy,Precision,Recall,F1 Score,CV_F1_Mean,CV_F1_Std
Random Forest,0.734,0.7375789464893864,0.734,0.7350092478690025,0.7270341019906068,0.005221721672957862
Gradient Boosting,0.7108,0.7134416274087649,0.7108,0.7109600979342174,0.6976060864746481,0.006681224401222699
Decision Tree,0.6944,0.7015051374376376,0.6944,0.6964638953932939,0.6917346836665521,0.004160759774834198
SVM,0.657,0.667879129716578,0.657,0.6580544463792567,0.6511474181093848,0.008502260134429396
Logistic Regression,0.6212,0.6240593798104692,0.6212,0.6152955189624286,0.6130223524090643,0.0047858762060767595
KNN,0.6052,0.6071034486215241,0.6052,0.605711701616587,0.6215868960887785,0.0052558983111570525
Naive Bayes,0.4746,0.6176226668990935,0.4746,0.42397249193992764,0.4081679271101072,0.03609371927747893
